STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/13/11,.,.,0.53,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/14/11,.,.,0.08,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/15/11,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/18/11,.,.,1.26,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/20/11,2,1.67,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/23/11,.,.,0.05,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/27/11,.,.,0.12,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,10/29/11,.,.,0.02,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/1/11,.,.,0.01,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/3/11,.,.,0.69,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/4/11,.,.,0.21,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/7/11,.,.,0.55,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/8/11,.,.,0.18,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/9/11,.,.,0.66,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/14/11,.,.,0.64,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/15/11,.,.,0.09,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/20/11,.,.,0,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/21/11,.,.,0.09,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/22/11,.,.,0.25,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/23/11,.,.,0.71,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/27/11,.,.,0.98,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/28/11,.,.,0.09,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/29/11,.,.,1.81,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,11/30/11,.,.,0.65,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/4/11,.,.,0.57,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/5/11,.,.,0.48,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/6/11,.,.,0.15,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/14/11,.,.,0.12,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/16/11,2,1.52,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/20/11,.,.,0.68,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/21/11,.,.,0.31,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/27/11,.,.,0.35,1.2,1.2,.,.,.,0.4,0.4,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/30/11,.,.,0.03,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,12/31/11,.,.,0.12,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/3/12,.,.,0,0,0,.,.,.,0,0,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/11/12,.,.,0.18,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/12/12,.,.,0.12,0.3,0.3,.,.,.,0.1,0.1,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/17/12,.,.,0.81,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/23/12,.,.,0.87,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/26/12,.,.,0.96,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/27/12,.,.,0.24,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/1/12,.,.,0.1,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/3/12,.,.,0,0,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/4/12,.,.,0.52,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/5/12,.,.,0.01,.,.,.,.,.,.,.,.,,,,,
